label,p10,p50,p90,actual
2026-06-16,18.899,38.302,42.865,37.604
2026-06-17,18.116,34.392,40.819,36.774
2026-06-18,30.348,41.122,41.955,39.764
2026-06-19,18.584,34.817,38.299,36.469
2026-06-20,6.008,17.505,35.853,15.716
2026-06-21,5.047,15.362,31.738,14.903
2026-06-22,6.795,27.764,39.55,28.525
2026-06-23,25.456,39.324,40.887,38.221
2026-06-24,37.926,41.049,41.391,38.794
2026-06-25,37.755,41.453,41.453,38.216
2026-06-26,8.025,20.804,34.128,22.373
2026-06-27,3.513,19.056,38.666,25.429
2026-06-28,7.005,25.138,39.19,25.501
2026-06-29,5.433,22.927,39.315,20.251
2026-06-30,5.628,21.572,40.322,16.459
2026-07-01,5.719,22.463,38.978,18.376
2026-07-02,13.542,33.957,40.457,31.85
2026-07-03,22.745,33.123,40.836,24.337
2026-07-04,16.477,33.154,42.268,28.515
2026-07-05,10.244,32.983,41.179,23.451
2026-07-06,7.666,29.448,40.961,29.544
2026-07-07,29.676,41.565,41.93,39.57
2026-07-08,31.928,41.761,41.785,39.288
2026-07-09,13.841,37.783,41.72,34.598
2026-07-10,9.436,29.954,40.445,30.145
2026-07-11,15.722,36.108,42.597,20.667
2026-07-12,30.899,37.599,42.295,29.328
2026-07-13,31.472,40.995,43.208,41.481
2026-07-14,41.034,44.095,44.095,41.792
2026-07-15,35.601,41.726,42.643,40.026
2026-07-16,5.784,14.597,29.893,16.092
2026-07-17,5.809,20.197,38.637,17.495
2026-07-18,6.526,25.803,42.305,28.802
2026-07-19,7.961,30.417,42.691,36.059
2026-07-20,13.364,39.754,44.472,31.585
2026-07-21,6.614,27.377,43.713,27.186
2026-07-22,19.15,42.943,44.9,41.291
2026-07-23,40.904,45.183,45.195,43.589
2026-07-24,26.505,42.424,45.765,42.278
2026-07-25,26.214,43.795,46.167,41.414
2026-07-26,6.856,22.013,40.717,29.37
